2020-11-17 06:08:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2000 in 503.055827ms
2020-11-17 06:08:15 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 06:11:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2020 in 495.579231ms
2020-11-17 06:14:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2040 in 999.230942ms
2020-11-17 06:18:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2060 in 494.570342ms
2020-11-17 06:21:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2080 in 400.357103ms
2020-11-17 06:24:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2100 in 992.687705ms
2020-11-17 06:28:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2120 in 592.916432ms
2020-11-17 06:31:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2140 in 489.937594ms
2020-11-17 06:34:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2160 in 1.090598982s
2020-11-17 06:36:04 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 06:38:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2180 in 591.544828ms
2020-11-17 06:41:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2200 in 403.911757ms
2020-11-17 06:44:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2220 in 1.19197435s
2020-11-17 06:48:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2240 in 494.182294ms
2020-11-17 06:51:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2260 in 589.655827ms
2020-11-17 06:54:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2280 in 1.08899771s
2020-11-17 06:58:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2300 in 497.131883ms
2020-11-17 07:01:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2320 in 405.959258ms
2020-11-17 07:03:54 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 07:04:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2340 in 1.094114323s
2020-11-17 07:08:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2360 in 587.499059ms
2020-11-17 07:11:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2380 in 400.900438ms
2020-11-17 07:14:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2400 in 996.531741ms
2020-11-17 07:18:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2420 in 492.06135ms
2020-11-17 07:21:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2440 in 496.885492ms
2020-11-17 07:24:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2460 in 1.291791411s
2020-11-17 07:28:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2480 in 496.992735ms
