        CONTAINER ID                                                                                                                                                                     IMAGE                            COMMAND                  STATUS               PORTS                                                                                                                                          NAMES
        b9b9830ba610                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"               Up 7 days                  []                                          [/k8s_jaeger-agent_authentication-service-b9d9c5d-2ls4s_orion_81f277ff-6d3c-4b0c-8e2f-304eed0c9338_0]
        eeb62a322c1f                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"               Up 7 days                  []                                        [/k8s_jaeger-agent_authentication-service-7bb669cc5d-wjjm4_prod_ae57115b-282c-4459-bdc5-cff7c5d7a410_0]
        92dc15658175                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"               Up 7 days                  []                                          [/k8s_jaeger-agent_authentication-service-b9d9c5d-qn5pk_orion_95feaafd-52fd-4da6-bcb5-c6224654773c_0]
        3f4a316e4204                                               cirrus-docker.jfrog.io/gateway-service/docker-image@sha256:f69e73ee1c798f0c559d3751effa981bbac9aab6c9e0635f14efa6cd85ea7ee8                   "/entrypoint.sh"               Up 7 days                  []                                       [/k8s_gateway-service_gateway-service-6c5b79f67c-6csww_chauv-dev_adddafb3-3127-4dbb-9d3a-a370a1c227de_0]
        c631c291e21f                        platformservices-docker-dev-local.bin.pega.io/gateway-service/docker-image@sha256:377111edfbda82c35195a564010f6e601aa6b11fe621391e4460077db19ac967                   "/entrypoint.sh"               Up 7 days                  []                        [/k8s_standalone_gateway-service-1603977279-standalone-646db8c56c-q8pd8_staging_2a9cba59-d004-4fc9-a7c9-d914c45643bc_0]
        b2e9d74d65d7                                               cirrus-docker.jfrog.io/gateway-service/docker-image@sha256:377111edfbda82c35195a564010f6e601aa6b11fe621391e4460077db19ac967                   "/entrypoint.sh"               Up 7 days                  []                                   [/k8s_gateway-service_gateway-service-5b5c667d76-9865g_morza-test-gw_f467af7f-f71b-45b3-b23d-0b0e6a2b8e1d_0]
        65d1b235e8bc   platformservices-docker-release-local.bin.pega.io/platform-services/mock-authentication-service@sha256:84c230519c08317ef5e0c6cb759f0b75430f8ee79a93ee9cf629300418b6dc19                           "java …"               Up 7 days                  []                                                 [/k8s_mas_authentication-service-7bb669cc5d-wjjm4_prod_ae57115b-282c-4459-bdc5-cff7c5d7a410_0]
        d9b296eb396f                                                704449933085.dkr.ecr.us-east-1.amazonaws.com/orion@sha256:63ef73f2260a62d12a156d5df5a37964e51dbfaaa0082486d2618192457a730c                           "java …"               Up 7 days                  []                                                   [/k8s_mas_authentication-service-b9d9c5d-qn5pk_orion_95feaafd-52fd-4da6-bcb5-c6224654773c_0]
        95411cf54b21                                                704449933085.dkr.ecr.us-east-1.amazonaws.com/orion@sha256:63ef73f2260a62d12a156d5df5a37964e51dbfaaa0082486d2618192457a730c                           "java …"               Up 7 days                  []                                                   [/k8s_mas_authentication-service-b9d9c5d-2ls4s_orion_81f277ff-6d3c-4b0c-8e2f-304eed0c9338_0]
        cf5543e48f3e                                                 cirrus-docker.jfrog.io/model-storage/docker-image@sha256:65e07f1dd18eb1f05567ee4b82d4f4ac90b1987b4491b75dcc1d710f6c105dee                   "/entrypoint.sh"               Up 7 days                  []                                             [/k8s_mss-service_mss-service-699cd956f6-8qcwq_immortale-m_ba17a819-31cc-483d-be39-063f96adcdbe_0]
        9b5023749ad5                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                               [/k8s_POD_gateway-service-5b5c667d76-9865g_morza-test-gw_f467af7f-f71b-45b3-b23d-0b0e6a2b8e1d_0]
        c3a6e83cfcbc                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                     [/k8s_POD_mss-service-699cd956f6-8qcwq_immortale-m_ba17a819-31cc-483d-be39-063f96adcdbe_0]
        01a3f44274e0                                                                                   jtblin/kube2iam@sha256:236d1d8c7a10929de7d7701eabcdf6f58e7154f520d745cf3ff324aea4c25150                       "kube2iam …"               Up 7 days                  []                         [/k8s_kube2iam_n2a98b14-597e-422c-89b0-d4f8352db29a-kube2iam-kxng5_kube-system_490da332-17b1-4dc0-9e56-2995bf71eae2_0]
        20055ffcecdb                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                         [/k8s_POD_constellation-customer-content-569fc74bd5-4mm2q_c11n_2e8a53b2-9144-4d95-990f-b1fa9ea22081_0]
        95a32c4b1d26                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                        [/k8s_POD_constellation-customer-content85-c78f466cf-45khh_c11n_5d406422-5f19-4e5f-8f1b-703a6917b29d_0]
        f786a4cf9247                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                   [/k8s_POD_authentication-service-b9d9c5d-qn5pk_orion_95feaafd-52fd-4da6-bcb5-c6224654773c_0]
